epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.409,1.02428,1.09851,0.89066,0.93622,0.87017,0.90081,0.65524,0.94946,0.94497,0.85065,0.00026,0.00026,0.00026
2,414.049,0.9905,0.74049,0.87752,0.92089,0.84557,0.89449,0.60129,0.96365,0.78,0.86669,0.000529308,0.000529308,0.000529308
3,590.564,0.95704,0.65278,0.87044,0.93587,0.85708,0.90873,0.64542,0.98604,0.92238,0.85492,0.000787528,0.000787528,0.000787528
4,791.448,0.97063,0.60549,0.86305,0.93904,0.85709,0.89909,0.66127,0.85967,0.81816,0.86435,0.00103466,0.00103466,0.00103466
5,972.021,0.94546,0.61007,0.86295,0.90113,0.8238,0.8659,0.64072,0.86997,0.77933,0.87731,0.0012707,0.0012707,0.0012707
6,1150.54,0.94868,0.58356,0.86005,0.65205,0.81917,0.59757,0.41992,1.00198,2.02805,0.91567,0.00149566,0.00149566,0.00149566
7,1322.97,1.04961,0.61864,0.8678,0.78468,0.84699,0.74622,0.52377,0.94971,1.05888,0.88042,0.00170953,0.00170953,0.00170953
8,1495.07,1.02421,0.6376,0.87416,0.79545,0.82535,0.75948,0.55399,0.94792,0.93267,0.86321,0.0017228,0.0017228,0.0017228
9,1665.04,0.96855,0.59302,0.86037,0.83874,0.8521,0.82388,0.5948,0.85658,0.76596,0.84771,0.0016832,0.0016832,0.0016832
10,1838.2,0.94508,0.55753,0.85462,0.8814,0.83926,0.86235,0.65331,0.85648,0.70345,0.86222,0.0016436,0.0016436,0.0016436
11,2010.83,0.91522,0.55227,0.85769,0.9088,0.86244,0.89028,0.66788,0.84224,0.62911,0.85464,0.001604,0.001604,0.001604
12,2183.07,0.98124,0.56687,0.84616,0.95016,0.86553,0.90598,0.70491,0.80439,0.53401,0.85171,0.0015644,0.0015644,0.0015644
13,2354.42,0.94275,0.56098,0.85812,0.93042,0.84235,0.89761,0.65092,0.82975,0.57122,0.85647,0.0015248,0.0015248,0.0015248
14,2526.02,0.92577,0.56013,0.8543,0.94589,0.86553,0.91272,0.70866,0.81428,0.54095,0.85052,0.0014852,0.0014852,0.0014852
15,2738.98,0.89627,0.54593,0.84505,0.93663,0.8609,0.91264,0.71253,0.79087,0.5257,0.84342,0.0014456,0.0014456,0.0014456
16,2914.18,0.85332,0.52305,0.83726,0.94476,0.87226,0.9125,0.70861,0.78218,0.51824,0.84808,0.001406,0.001406,0.001406
17,3086.26,0.83677,0.51357,0.84374,0.96364,0.85008,0.91801,0.72654,0.7534,0.49275,0.83183,0.0013664,0.0013664,0.0013664
18,3256.99,0.86576,0.50645,0.83584,0.96835,0.8512,0.91611,0.71362,0.7834,0.51433,0.83664,0.0013268,0.0013268,0.0013268
19,3422.29,0.88465,0.52715,0.84725,0.97166,0.85781,0.92024,0.7128,0.80951,0.51007,0.84626,0.0012872,0.0012872,0.0012872
20,3588.95,0.85713,0.49526,0.8451,0.95731,0.86652,0.91489,0.72265,0.76825,0.47045,0.84471,0.0012476,0.0012476,0.0012476
21,3759.07,0.84972,0.49445,0.83681,0.96571,0.87049,0.91037,0.70653,0.81221,0.49579,0.84124,0.001208,0.001208,0.001208
22,3925.05,0.86393,0.49609,0.83521,0.94965,0.85626,0.91197,0.70369,0.83118,0.51892,0.84114,0.0011684,0.0011684,0.0011684
23,4090.76,0.85051,0.49702,0.84107,0.93908,0.85779,0.90991,0.70317,0.77078,0.49027,0.84296,0.0011288,0.0011288,0.0011288
24,4255.59,0.79221,0.48062,0.82897,0.9455,0.85162,0.91274,0.72027,0.7477,0.46745,0.84272,0.0010892,0.0010892,0.0010892
25,4419.95,0.81086,0.47889,0.83384,0.93542,0.87311,0.91094,0.70746,0.78596,0.48833,0.83973,0.0010496,0.0010496,0.0010496
26,4584.7,0.78568,0.45333,0.83187,0.95212,0.87635,0.91978,0.72744,0.75035,0.45935,0.83317,0.00101,0.00101,0.00101
27,4753.79,0.78068,0.4458,0.82535,0.96793,0.8609,0.91965,0.72584,0.76248,0.46944,0.83173,0.0009704,0.0009704,0.0009704
28,4921.47,0.80945,0.46106,0.83429,0.96477,0.86708,0.91291,0.72091,0.75869,0.4601,0.83369,0.0009308,0.0009308,0.0009308
29,5095.47,0.77337,0.44518,0.82643,0.95778,0.86244,0.90749,0.71109,0.7813,0.48473,0.8359,0.0008912,0.0008912,0.0008912
30,5259.71,0.7822,0.45329,0.8274,0.95868,0.87326,0.92491,0.73221,0.7406,0.45117,0.83371,0.0008516,0.0008516,0.0008516
31,5432.96,0.76222,0.43835,0.83386,0.96951,0.87017,0.91965,0.72834,0.74183,0.45163,0.83161,0.000812,0.000812,0.000812
32,5798.65,0.77525,0.4461,0.82697,0.96569,0.87008,0.91799,0.73244,0.76276,0.45535,0.83339,0.0007724,0.0007724,0.0007724
33,6207.2,0.76563,0.44019,0.82797,0.96117,0.8609,0.91921,0.7364,0.7354,0.44197,0.83239,0.0007328,0.0007328,0.0007328
34,6477.9,0.76284,0.42811,0.82126,0.96361,0.86708,0.91631,0.72713,0.7363,0.44152,0.83049,0.0006932,0.0006932,0.0006932
35,6649.85,0.75593,0.42907,0.82922,0.96962,0.8609,0.91617,0.73173,0.71725,0.44145,0.82759,0.0006536,0.0006536,0.0006536
36,6819.98,0.73494,0.42455,0.82047,0.94497,0.87578,0.91212,0.72742,0.73679,0.43791,0.83409,0.000614,0.000614,0.000614
37,6989.62,0.7479,0.423,0.82056,0.97329,0.86553,0.91335,0.73199,0.72145,0.43793,0.82761,0.0005744,0.0005744,0.0005744
38,7165.45,0.75478,0.42675,0.82072,0.96702,0.8611,0.91868,0.73014,0.74556,0.44083,0.83303,0.0005348,0.0005348,0.0005348
39,7341.54,0.74885,0.42028,0.82258,0.96555,0.86708,0.91807,0.73014,0.74057,0.43872,0.83478,0.0004952,0.0004952,0.0004952
40,7514.43,0.74938,0.41329,0.82563,0.94809,0.89026,0.92124,0.7348,0.73766,0.42964,0.83174,0.0004556,0.0004556,0.0004556
